_id,chapter,questionId,question_text,subject,subtopic,year
jh739qd0n2x998zen5f428gwnd7syecs,General Aptitude,2025-cs1-q.1,"Ravi had ______ younger brother who taught at ______ university. He was widely regarded as ______ honorable man.
Select the option with the correct sequence of articles to fill in the blanks.",General Aptitude,English Grammar,2025
jh712mqxtkp1hkj92htfcg9qbn7sywp8,General Aptitude,2025-cs2-q.1,"Despite his initial hesitation, Rehman's __________ to contribute to the success of the project never wavered.

Select the most appropriate option to complete the above sentence.",General Aptitude,OTHER: Vocabulary,2025
jh78vvyp9bz0c3p7c3r5pqkpnd7syvsg,Discrete Mathematics,2025-cs1-q.10,"A shop has 4 distinct flavors of ice-cream. One can purchase any number of scoops of any flavor. The order in which the scoops are purchased is inconsequential. If one wants to purchase 3 scoops of ice-cream, in how many ways can one make that purchase?",Engineering Mathematics,Combinatorics: counting,2025
jh75j5cm4vsdbga3pyn0rjaqah7sy93k,General Aptitude,2025-cs2-q.10,"The diagram below shows a river system consisting of 7 segments, marked P, Q, R, S, T, U, and V. It splits the land into 5 zones, marked Z1, Z2, Z3, Z4, and Z5. We need to connect these zones using the least number of bridges. Out of the following options, which one is correct?

Note: The figure shown is representative.",General Aptitude,OTHER: Graph Theory,2025
jh7c17bwng7a4gyy0wbgckbfdd7syw8f,Computer Organization and Architecture,2025-cs1-q.11,"Suppose a program is running on a non-pipelined single processor computer system. The computer is connected to an external device that can interrupt the processor asynchronously. The processor needs to execute the interrupt service routine (ISR) to serve this interrupt. The following steps (not necessarily in order) are taken by the processor when the interrupt arrives:
(i) The processor saves the content of the program counter.
(ii) The program counter is loaded with the start address of the ISR.
(iii) The processor finishes the present instruction.
Which ONE of the following is the CORRECT sequence of steps?",Computer Organization and Architecture,interrupt and DMA mode,2025
jh78g7m4prwzjjsaw2353kpd7x7szt6s,Engineering Mathematics,2025-cs2-q.11,"If A = [[1, 2], [2, -1]], then which ONE of the following is A^8 ?",Engineering Mathematics,"Matrices, determinants, system of linear equations, eigenvalues and eigenvectors, LU decomposition",2025
jh75fv92ae92crn4qjkft4024n7szqba,Compiler Design,2025-cs1-q.12,Which ONE of the following statements is FALSE regarding the symbol table?,Compiler Design,approximate: Symbol table management,2025
jh75r5n09ats01a5fmb70cm9nn7sy9qh,Engineering Mathematics,2025-cs2-q.12,"The value of x such that x > 1, satisfying the equation ∫[from 1 to x] t ln t dt = 1/4 is",Engineering Mathematics,Integration,2025
jh71z8anw84feg3q5e9g0rncq17sy08x,Compiler Design,2025-cs1-q.13,Which ONE of the following techniques used in compiler code optimization uses live variable analysis?,Compiler Design,liveness analysis,2025
jh75w7g02xm6q2zk2n9nbvck5n7sy7kh,Programming and Data Structures,2025-cs2-q.13,"Consider a binary tree T in which every node has either zero or two children. Let n > 0 be the number of nodes in T.

Which ONE of the following is the number of nodes in T that have exactly two children?",Programming and Data Structures,"Arrays, stacks, queues, linked lists, trees, binary search trees, binary heaps, graphs",2025
jh7dgskjdqhw2jy932br0b99a17syyjp,Operating System,2025-cs1-q.14,"Consider a demand paging memory management system with 32-bit logical address, 20-bit physical address, and page size of 2048 bytes. Assuming that the memory is byte addressable, what is the maximum number of entries in the page table?",Operating System,approximate: Paging,2025
jh78hh4ms2rx3cx4gq8kbqffmh7syk1e,Engineering Mathematics,2025-cs2-q.14,"Let L, M, and N be non-singular matrices of order 3 satisfying the equations L² = L⁻¹, M = L⁸ and N = L².

Which ONE of the following is the value of the determinant of (M – N)?",Engineering Mathematics,"Matrices, determinants, system of linear equations, eigenvalues and eigenvectors, LU decomposition",2025
jh7f3xygqynyw1qtkhvqnzvs0n7sztmy,Databases,2025-cs1-q.15,"A schedule of three database transactions T1, T2, and T3 is shown. Ri(A) and Wi(A) denote read and write of data item A by transaction Ti, i = 1,2,3. The transaction T1 aborts at the end. Which other transaction(s) will be required to be rolled back?
R1(X) W1(Y) R2(X) R2(Y) R3(Y) ABORT(T1)",Databases,Transactions and concurrency control,2025
jh7dj5npcfs9a0fgmwrdq961cd7szjqc,Discrete Mathematics,2025-cs2-q.15,"Let P(x) be an arbitrary predicate over the domain of natural numbers.

Which ONE of the following statements is TRUE?",Engineering Mathematics,Propositional and first order logic,2025
jh76ax3ed44edfsktenyrachhd7sy3ta,Computer Networks,2025-cs1-q.16,Identify the ONE CORRECT matching between the OSI layers and their corresponding functionalities as shown.,Computer Networks,OSI and TCP/IP Protocol Stacks,2025
jh79wt5nt2994r415mgtt2pyy97sydc5,Computer Networks,2025-cs2-q.16,"Consider the following statements:

(i) Address Resolution Protocol (ARP) provides a mapping from an IP address to the corresponding hardware (link-layer) address.
(ii) A single TCP segment from a sender S to a receiver R cannot carry both data from S to R and acknowledgement for a segment from R to S.",Computer Networks,"Basics of IP support protocols (ARP, DHCP, ICMP), Network Address Translation (NAT)",2025
jh78ap7wd5cfqcp11d9vz83qe57syzbm,Discrete Mathematics,2025-cs1-q.17,"g(.) is a function from A to B, f(.) is a function from B to C, and their composition defined as f(g(.)) is a mapping from A to C.
If f(.) and f(g(.)) are onto (surjective) functions, which ONE of the following is TRUE about the function g(.)?",Engineering Mathematics,"Sets, relations, functions, partial orders and lattices",2025
